Urun_ID,Ana_Kategori,Alt_Kategori,Marka,Model,Fiyat_TL,Kaynak_Site,Segment,Kullanim_Amaci,Ozellikler,Enerji_Sinifi,Renk,Garanti_Ay,Puan,Yorum_Sayisi,Stok_Durumu,Elektrikli_Mi,Fiyat_Guncelleme_Tarihi,Fiyat_Notu,Akakce_Arama_Link,Hepsiburada_Arama_Link,Amazon_Arama_Link,Teknosa_Arama_Link,Vatan_Arama_Link,Topluluk_Puani,Populerlik
EV-00229,Akıllı Ev Sistemleri,Akıllı Termostat,Google Nest,Google Nest Akıllı Termostat GOO-AKI-0229,15400,MediaMarkt,Fiyat/Performans,Günlük Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Google Assistant uyumlu",A+,Beyaz,12,56,11561,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Google+Nest+Ak%C4%B1ll%C4%B1+Termostat+GOO-AKI-0229,https://www.hepsiburada.com/ara?q=Google+Nest+Ak%C4%B1ll%C4%B1+Termostat+GOO-AKI-0229,https://www.amazon.com.tr/s?k=Google+Nest+Ak%C4%B1ll%C4%B1+Termostat+GOO-AKI-0229,https://www.teknosa.com/arama/?s=Google+Nest+Ak%C4%B1ll%C4%B1+Termostat+GOO-AKI-0229,https://www.vatanbilgisayar.com/arama/Google+Nest+Ak%C4%B1ll%C4%B1+Termostat+GOO-AKI-0229,56,Orta
EV-00230,Aydınlatma Ürünleri,Akıllı Ampul,Xiaomi,Xiaomi Akıllı Ampul XIA-AKI-0230,3250,Trendyol,Üst,Pratik Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Alexa uyumlu",B,Lacivert,12,60,4313,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Xiaomi+Ak%C4%B1ll%C4%B1+Ampul+XIA-AKI-0230,https://www.hepsiburada.com/ara?q=Xiaomi+Ak%C4%B1ll%C4%B1+Ampul+XIA-AKI-0230,https://www.amazon.com.tr/s?k=Xiaomi+Ak%C4%B1ll%C4%B1+Ampul+XIA-AKI-0230,https://www.teknosa.com/arama/?s=Xiaomi+Ak%C4%B1ll%C4%B1+Ampul+XIA-AKI-0230,https://www.vatanbilgisayar.com/arama/Xiaomi+Ak%C4%B1ll%C4%B1+Ampul+XIA-AKI-0230,60,Yüksek
EV-00231,Akıllı Ev Sistemleri,Akıllı Termostat,Tado,Tado Akıllı Termostat TAD-AKI-0231,18800,Teknosa,Giriş,Pratik Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Google Assistant uyumlu",Belirtilmemiş,Krem,12,52,7516,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0231,https://www.hepsiburada.com/ara?q=Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0231,https://www.amazon.com.tr/s?k=Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0231,https://www.teknosa.com/arama/?s=Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0231,https://www.vatanbilgisayar.com/arama/Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0231,52,Orta
EV-00232,Evcil Hayvan Ürünleri,Kedi Köpek Tıraş Makinesi,Kiwi,Kiwi Kedi Köpek Tıraş Makinesi KIW-KED-0232,4800,Trendyol,Giriş,Ev Kullanımı,"1820 W, günlük kullanıma uygun, kompakt tasarım",A++,Mor,36,44,3014,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Kiwi+Kedi+K%C3%B6pek+T%C4%B1ra%C5%9F+Makinesi+KIW-KED-0232,https://www.hepsiburada.com/ara?q=Kiwi+Kedi+K%C3%B6pek+T%C4%B1ra%C5%9F+Makinesi+KIW-KED-0232,https://www.amazon.com.tr/s?k=Kiwi+Kedi+K%C3%B6pek+T%C4%B1ra%C5%9F+Makinesi+KIW-KED-0232,https://www.teknosa.com/arama/?s=Kiwi+Kedi+K%C3%B6pek+T%C4%B1ra%C5%9F+Makinesi+KIW-KED-0232,https://www.vatanbilgisayar.com/arama/Kiwi+Kedi+K%C3%B6pek+T%C4%B1ra%C5%9F+Makinesi+KIW-KED-0232,44,Orta
EV-00233,Akıllı Ev Sistemleri,Akıllı Priz,Meross,Meross Akıllı Priz MER-AKI-0233,3100,MediaMarkt,Orta,Pratik Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Google Assistant uyumlu",B,Gri,36,47,11376,Kampanyalı,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Meross+Ak%C4%B1ll%C4%B1+Priz+MER-AKI-0233,https://www.hepsiburada.com/ara?q=Meross+Ak%C4%B1ll%C4%B1+Priz+MER-AKI-0233,https://www.amazon.com.tr/s?k=Meross+Ak%C4%B1ll%C4%B1+Priz+MER-AKI-0233,https://www.teknosa.com/arama/?s=Meross+Ak%C4%B1ll%C4%B1+Priz+MER-AKI-0233,https://www.vatanbilgisayar.com/arama/Meross+Ak%C4%B1ll%C4%B1+Priz+MER-AKI-0233,47,Orta
EV-00234,Süpürgeler,Dikey Süpürge,Philips,Philips Dikey Süpürge PHI-DIK-0234,25250,Vatan Bilgisayar,Premium,Hızlı Temizlik,"2484 W motor, HEPA filtre, Kablosuz",Belirtilmemiş,Mor,12,77,5897,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Philips+Dikey+S%C3%BCp%C3%BCrge+PHI-DIK-0234,https://www.hepsiburada.com/ara?q=Philips+Dikey+S%C3%BCp%C3%BCrge+PHI-DIK-0234,https://www.amazon.com.tr/s?k=Philips+Dikey+S%C3%BCp%C3%BCrge+PHI-DIK-0234,https://www.teknosa.com/arama/?s=Philips+Dikey+S%C3%BCp%C3%BCrge+PHI-DIK-0234,https://www.vatanbilgisayar.com/arama/Philips+Dikey+S%C3%BCp%C3%BCrge+PHI-DIK-0234,77,Çok Yüksek
EV-00235,Isıtma & Soğutma,Vantilatör,Rowenta,Rowenta Vantilatör ROW-VAN-0235,8000,Amazon Türkiye,Premium,Günlük Kullanım,"569 W, günlük kullanıma uygun, kompakt tasarım",B,Siyah,24,52,8021,Kampanyalı,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Rowenta+Vantilat%C3%B6r+ROW-VAN-0235,https://www.hepsiburada.com/ara?q=Rowenta+Vantilat%C3%B6r+ROW-VAN-0235,https://www.amazon.com.tr/s?k=Rowenta+Vantilat%C3%B6r+ROW-VAN-0235,https://www.teknosa.com/arama/?s=Rowenta+Vantilat%C3%B6r+ROW-VAN-0235,https://www.vatanbilgisayar.com/arama/Rowenta+Vantilat%C3%B6r+ROW-VAN-0235,52,Yüksek
EV-00236,İçecek Hazırlama,Türk Kahve Makinesi,Karaca,Karaca Türk Kahve Makinesi KAR-TÜR-0236,2200,Teknosa,Fiyat/Performans,Pratik Kullanım,"1814 W, çelik gövde",B,Beyaz,12,48,7507,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Karaca+T%C3%BCrk+Kahve+Makinesi+KAR-T%C3%9CR-0236,https://www.hepsiburada.com/ara?q=Karaca+T%C3%BCrk+Kahve+Makinesi+KAR-T%C3%9CR-0236,https://www.amazon.com.tr/s?k=Karaca+T%C3%BCrk+Kahve+Makinesi+KAR-T%C3%9CR-0236,https://www.teknosa.com/arama/?s=Karaca+T%C3%BCrk+Kahve+Makinesi+KAR-T%C3%9CR-0236,https://www.vatanbilgisayar.com/arama/Karaca+T%C3%BCrk+Kahve+Makinesi+KAR-T%C3%9CR-0236,48,Orta
EV-00237,Mutfak,Tost Makinesi,Korkmaz,Korkmaz Tost Makinesi KOR-TOS-0237,5600,n11,Fiyat/Performans,Pratik Kullanım,"1303 W, günlük kullanıma uygun, kompakt tasarım",B,Inox,36,52,12466,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Korkmaz+Tost+Makinesi+KOR-TOS-0237,https://www.hepsiburada.com/ara?q=Korkmaz+Tost+Makinesi+KOR-TOS-0237,https://www.amazon.com.tr/s?k=Korkmaz+Tost+Makinesi+KOR-TOS-0237,https://www.teknosa.com/arama/?s=Korkmaz+Tost+Makinesi+KOR-TOS-0237,https://www.vatanbilgisayar.com/arama/Korkmaz+Tost+Makinesi+KOR-TOS-0237,52,Orta
EV-00238,Evcil Hayvan Ürünleri,Otomatik Mama Kabı,Petkit,Petkit Otomatik Mama Kabı PET-OTO-0238,9600,MediaMarkt,Giriş,Ev Kullanımı,"2172 W, günlük kullanıma uygun, kompakt tasarım",A+++,Inox,24,55,1440,Kampanyalı,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Petkit+Otomatik+Mama+Kab%C4%B1+PET-OTO-0238,https://www.hepsiburada.com/ara?q=Petkit+Otomatik+Mama+Kab%C4%B1+PET-OTO-0238,https://www.amazon.com.tr/s?k=Petkit+Otomatik+Mama+Kab%C4%B1+PET-OTO-0238,https://www.teknosa.com/arama/?s=Petkit+Otomatik+Mama+Kab%C4%B1+PET-OTO-0238,https://www.vatanbilgisayar.com/arama/Petkit+Otomatik+Mama+Kab%C4%B1+PET-OTO-0238,55,Orta
EV-00239,Akıllı Ev Sistemleri,Akıllı Termostat,Tado,Tado Akıllı Termostat TAD-AKI-0239,6800,Trendyol,Fiyat/Performans,Günlük Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Siri Shortcuts uyumlu",A+,Krem,12,51,3405,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0239,https://www.hepsiburada.com/ara?q=Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0239,https://www.amazon.com.tr/s?k=Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0239,https://www.teknosa.com/arama/?s=Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0239,https://www.vatanbilgisayar.com/arama/Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0239,51,Orta
EV-00240,Mutfak,Su Arıtma,İhlas,İhlas Su Arıtma IHL-SU -0240,10200,Vatan Bilgisayar,Üst,Pratik Kullanım,"2069 W, günlük kullanıma uygun, kompakt tasarım",A+++,Gri,36,55,8443,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=%C4%B0hlas+Su+Ar%C4%B1tma+IHL-SU+-0240,https://www.hepsiburada.com/ara?q=%C4%B0hlas+Su+Ar%C4%B1tma+IHL-SU+-0240,https://www.amazon.com.tr/s?k=%C4%B0hlas+Su+Ar%C4%B1tma+IHL-SU+-0240,https://www.teknosa.com/arama/?s=%C4%B0hlas+Su+Ar%C4%B1tma+IHL-SU+-0240,https://www.vatanbilgisayar.com/arama/%C4%B0hlas+Su+Ar%C4%B1tma+IHL-SU+-0240,55,Yüksek
EV-00241,Mutfak,Tost Makinesi,Schafer,Schafer Tost Makinesi SCH-TOS-0241,2600,Trendyol,Orta,Günlük Kullanım,"1959 W, günlük kullanıma uygun, kompakt tasarım",Belirtilmemiş,Mor,36,53,5292,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Schafer+Tost+Makinesi+SCH-TOS-0241,https://www.hepsiburada.com/ara?q=Schafer+Tost+Makinesi+SCH-TOS-0241,https://www.amazon.com.tr/s?k=Schafer+Tost+Makinesi+SCH-TOS-0241,https://www.teknosa.com/arama/?s=Schafer+Tost+Makinesi+SCH-TOS-0241,https://www.vatanbilgisayar.com/arama/Schafer+Tost+Makinesi+SCH-TOS-0241,53,Orta
EV-00242,Akıllı Ev Sistemleri,Akıllı Priz,Sonoff,Sonoff Akıllı Priz SON-AKI-0242,2150,MediaMarkt,Premium,Günlük Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Alexa uyumlu",B,Krem,24,50,10396,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Sonoff+Ak%C4%B1ll%C4%B1+Priz+SON-AKI-0242,https://www.hepsiburada.com/ara?q=Sonoff+Ak%C4%B1ll%C4%B1+Priz+SON-AKI-0242,https://www.amazon.com.tr/s?k=Sonoff+Ak%C4%B1ll%C4%B1+Priz+SON-AKI-0242,https://www.teknosa.com/arama/?s=Sonoff+Ak%C4%B1ll%C4%B1+Priz+SON-AKI-0242,https://www.vatanbilgisayar.com/arama/Sonoff+Ak%C4%B1ll%C4%B1+Priz+SON-AKI-0242,50,Orta
EV-00243,Hava Nemlendirici & Temizleyiciler,Hava Nemlendirici,Weewell,Weewell Hava Nemlendirici WEE-HAV-0243,8600,n11,Giriş,Günlük Kullanım,"UV-C filtre, 49 m² etki alanı",C,Lacivert,24,51,12019,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Weewell+Hava+Nemlendirici+WEE-HAV-0243,https://www.hepsiburada.com/ara?q=Weewell+Hava+Nemlendirici+WEE-HAV-0243,https://www.amazon.com.tr/s?k=Weewell+Hava+Nemlendirici+WEE-HAV-0243,https://www.teknosa.com/arama/?s=Weewell+Hava+Nemlendirici+WEE-HAV-0243,https://www.vatanbilgisayar.com/arama/Weewell+Hava+Nemlendirici+WEE-HAV-0243,51,Orta
EV-00244,Süpürgeler,Koltuk Yıkama Makinesi,Arnica,Arnica Koltuk Yıkama Makinesi ARN-KOL-0244,25750,MediaMarkt,Orta,Ev Kullanımı,"1520 W, günlük kullanıma uygun, kompakt tasarım",B,Gri,12,57,4661,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Arnica+Koltuk+Y%C4%B1kama+Makinesi+ARN-KOL-0244,https://www.hepsiburada.com/ara?q=Arnica+Koltuk+Y%C4%B1kama+Makinesi+ARN-KOL-0244,https://www.amazon.com.tr/s?k=Arnica+Koltuk+Y%C4%B1kama+Makinesi+ARN-KOL-0244,https://www.teknosa.com/arama/?s=Arnica+Koltuk+Y%C4%B1kama+Makinesi+ARN-KOL-0244,https://www.vatanbilgisayar.com/arama/Arnica+Koltuk+Y%C4%B1kama+Makinesi+ARN-KOL-0244,57,Orta
EV-00245,Mutfak,Dondurma Makinesi,Ninja,Ninja Dondurma Makinesi NIN-DON-0245,3950,Amazon Türkiye,Giriş,Günlük Kullanım,"654 W, günlük kullanıma uygun, kompakt tasarım",Belirtilmemiş,Gri,36,50,7544,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Ninja+Dondurma+Makinesi+NIN-DON-0245,https://www.hepsiburada.com/ara?q=Ninja+Dondurma+Makinesi+NIN-DON-0245,https://www.amazon.com.tr/s?k=Ninja+Dondurma+Makinesi+NIN-DON-0245,https://www.teknosa.com/arama/?s=Ninja+Dondurma+Makinesi+NIN-DON-0245,https://www.vatanbilgisayar.com/arama/Ninja+Dondurma+Makinesi+NIN-DON-0245,50,Orta
EV-00246,İçecek Hazırlama,Kahve Makinesi,Karaca,Karaca Kahve Makinesi KAR-KAH-0246,3550,Amazon Türkiye,Orta,Günlük Kullanım,"2140 W, ısı ayarı",A+,Beyaz,24,48,4504,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Karaca+Kahve+Makinesi+KAR-KAH-0246,https://www.hepsiburada.com/ara?q=Karaca+Kahve+Makinesi+KAR-KAH-0246,https://www.amazon.com.tr/s?k=Karaca+Kahve+Makinesi+KAR-KAH-0246,https://www.teknosa.com/arama/?s=Karaca+Kahve+Makinesi+KAR-KAH-0246,https://www.vatanbilgisayar.com/arama/Karaca+Kahve+Makinesi+KAR-KAH-0246,48,Orta
EV-00247,İçecek Hazırlama,Espresso Kahve Makinesi,Sage,Sage Espresso Kahve Makinesi SAG-ESP-0247,42500,Amazon Türkiye,Üst,Ev Kullanımı,"2142 W, otomatik kapanma",C,Beyaz,24,62,3851,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Sage+Espresso+Kahve+Makinesi+SAG-ESP-0247,https://www.hepsiburada.com/ara?q=Sage+Espresso+Kahve+Makinesi+SAG-ESP-0247,https://www.amazon.com.tr/s?k=Sage+Espresso+Kahve+Makinesi+SAG-ESP-0247,https://www.teknosa.com/arama/?s=Sage+Espresso+Kahve+Makinesi+SAG-ESP-0247,https://www.vatanbilgisayar.com/arama/Sage+Espresso+Kahve+Makinesi+SAG-ESP-0247,62,Yüksek
EV-00248,Hava Nemlendirici & Temizleyiciler,Hava Temizleyici,Xiaomi,Xiaomi Hava Temizleyici XIA-HAV-0248,12300,Trendyol,Fiyat/Performans,Alerji,"HEPA H13 filtre, 64 m² etki alanı",A+,Beyaz,36,65,7306,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Xiaomi+Hava+Temizleyici+XIA-HAV-0248,https://www.hepsiburada.com/ara?q=Xiaomi+Hava+Temizleyici+XIA-HAV-0248,https://www.amazon.com.tr/s?k=Xiaomi+Hava+Temizleyici+XIA-HAV-0248,https://www.teknosa.com/arama/?s=Xiaomi+Hava+Temizleyici+XIA-HAV-0248,https://www.vatanbilgisayar.com/arama/Xiaomi+Hava+Temizleyici+XIA-HAV-0248,65,Yüksek
EV-00249,Hava Nemlendirici & Temizleyiciler,Hava Temizleyici,Xiaomi,Xiaomi Hava Temizleyici XIA-HAV-0249,17300,Hepsiburada,Premium,Alerji,"Aktif karbon filtre, 43 m² etki alanı",A+,Gri,36,63,1693,Az stok,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Xiaomi+Hava+Temizleyici+XIA-HAV-0249,https://www.hepsiburada.com/ara?q=Xiaomi+Hava+Temizleyici+XIA-HAV-0249,https://www.amazon.com.tr/s?k=Xiaomi+Hava+Temizleyici+XIA-HAV-0249,https://www.teknosa.com/arama/?s=Xiaomi+Hava+Temizleyici+XIA-HAV-0249,https://www.vatanbilgisayar.com/arama/Xiaomi+Hava+Temizleyici+XIA-HAV-0249,63,Çok Yüksek
EV-00250,Evcil Hayvan Ürünleri,Otomatik Mama Kabı,Petkit,Petkit Otomatik Mama Kabı PET-OTO-0250,3200,Vatan Bilgisayar,Fiyat/Performans,Günlük Kullanım,"1301 W, günlük kullanıma uygun, kompakt tasarım",A+,Inox,24,52,10664,Hızlı teslimat,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Petkit+Otomatik+Mama+Kab%C4%B1+PET-OTO-0250,https://www.hepsiburada.com/ara?q=Petkit+Otomatik+Mama+Kab%C4%B1+PET-OTO-0250,https://www.amazon.com.tr/s?k=Petkit+Otomatik+Mama+Kab%C4%B1+PET-OTO-0250,https://www.teknosa.com/arama/?s=Petkit+Otomatik+Mama+Kab%C4%B1+PET-OTO-0250,https://www.vatanbilgisayar.com/arama/Petkit+Otomatik+Mama+Kab%C4%B1+PET-OTO-0250,52,Orta
EV-00251,Akıllı Ev Sistemleri,Akıllı Termostat,Tado,Tado Akıllı Termostat TAD-AKI-0251,8300,Hepsiburada,Giriş,Pratik Kullanım,"Wi-Fi/Bluetooth, mobil uygulama, Siri Shortcuts uyumlu",A,Lacivert,36,50,2032,Kampanyalı,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0251,https://www.hepsiburada.com/ara?q=Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0251,https://www.amazon.com.tr/s?k=Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0251,https://www.teknosa.com/arama/?s=Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0251,https://www.vatanbilgisayar.com/arama/Tado+Ak%C4%B1ll%C4%B1+Termostat+TAD-AKI-0251,50,Orta
EV-00252,Süpürgeler,Dikey Süpürge,Philips,Philips Dikey Süpürge PHI-DIK-0252,21500,Trendyol,Giriş,Ev Temizliği,"609 W motor, Yıkanabilir filtre, Kablolu",A++,Inox,36,74,9845,Kampanyalı,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Philips+Dikey+S%C3%BCp%C3%BCrge+PHI-DIK-0252,https://www.hepsiburada.com/ara?q=Philips+Dikey+S%C3%BCp%C3%BCrge+PHI-DIK-0252,https://www.amazon.com.tr/s?k=Philips+Dikey+S%C3%BCp%C3%BCrge+PHI-DIK-0252,https://www.teknosa.com/arama/?s=Philips+Dikey+S%C3%BCp%C3%BCrge+PHI-DIK-0252,https://www.vatanbilgisayar.com/arama/Philips+Dikey+S%C3%BCp%C3%BCrge+PHI-DIK-0252,74,Çok Yüksek
EV-00253,Evcil Hayvan Ürünleri,Otomatik Mama Kabı,Xiaomi,Xiaomi Otomatik Mama Kabı XIA-OTO-0253,8200,MediaMarkt,Premium,Pratik Kullanım,"1616 W, günlük kullanıma uygun, kompakt tasarım",A+++,Siyah,24,60,8200,Kampanyalı,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Xiaomi+Otomatik+Mama+Kab%C4%B1+XIA-OTO-0253,https://www.hepsiburada.com/ara?q=Xiaomi+Otomatik+Mama+Kab%C4%B1+XIA-OTO-0253,https://www.amazon.com.tr/s?k=Xiaomi+Otomatik+Mama+Kab%C4%B1+XIA-OTO-0253,https://www.teknosa.com/arama/?s=Xiaomi+Otomatik+Mama+Kab%C4%B1+XIA-OTO-0253,https://www.vatanbilgisayar.com/arama/Xiaomi+Otomatik+Mama+Kab%C4%B1+XIA-OTO-0253,60,Çok Yüksek
EV-00254,Süpürgeler,Dikey Süpürge,Dreame,Dreame Dikey Süpürge DRE-DIK-0254,37750,Teknosa,Premium,Ev Temizliği,"798 W motor, HEPA filtre, Kablosuz",A+++,Krem,24,63,2845,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Dreame+Dikey+S%C3%BCp%C3%BCrge+DRE-DIK-0254,https://www.hepsiburada.com/ara?q=Dreame+Dikey+S%C3%BCp%C3%BCrge+DRE-DIK-0254,https://www.amazon.com.tr/s?k=Dreame+Dikey+S%C3%BCp%C3%BCrge+DRE-DIK-0254,https://www.teknosa.com/arama/?s=Dreame+Dikey+S%C3%BCp%C3%BCrge+DRE-DIK-0254,https://www.vatanbilgisayar.com/arama/Dreame+Dikey+S%C3%BCp%C3%BCrge+DRE-DIK-0254,63,Çok Yüksek
EV-00255,İçecek Hazırlama,Espresso Kahve Makinesi,Sage,Sage Espresso Kahve Makinesi SAG-ESP-0255,35750,Amazon Türkiye,Üst,Ev Kullanımı,"1623 W, otomatik kapanma",C,Gri,24,62,6821,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Sage+Espresso+Kahve+Makinesi+SAG-ESP-0255,https://www.hepsiburada.com/ara?q=Sage+Espresso+Kahve+Makinesi+SAG-ESP-0255,https://www.amazon.com.tr/s?k=Sage+Espresso+Kahve+Makinesi+SAG-ESP-0255,https://www.teknosa.com/arama/?s=Sage+Espresso+Kahve+Makinesi+SAG-ESP-0255,https://www.vatanbilgisayar.com/arama/Sage+Espresso+Kahve+Makinesi+SAG-ESP-0255,62,Yüksek
EV-00256,Mutfak,Meyve Sıkacağı,Philips,Philips Meyve Sıkacağı PHI-MEY-0256,9700,n11,Orta,Ev Kullanımı,"535 W, çelik bıçak",C,Mor,24,71,5368,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Philips+Meyve+S%C4%B1kaca%C4%9F%C4%B1+PHI-MEY-0256,https://www.hepsiburada.com/ara?q=Philips+Meyve+S%C4%B1kaca%C4%9F%C4%B1+PHI-MEY-0256,https://www.amazon.com.tr/s?k=Philips+Meyve+S%C4%B1kaca%C4%9F%C4%B1+PHI-MEY-0256,https://www.teknosa.com/arama/?s=Philips+Meyve+S%C4%B1kaca%C4%9F%C4%B1+PHI-MEY-0256,https://www.vatanbilgisayar.com/arama/Philips+Meyve+S%C4%B1kaca%C4%9F%C4%B1+PHI-MEY-0256,71,Çok Yüksek
EV-00257,Mutfak,Mikser,Arzum,Arzum Mikser ARZ-MIK-0257,6900,Hepsiburada,Premium,Günlük Kullanım,"1033 W, çoklu hız ayarı",C,Gri,24,54,9990,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Arzum+Mikser+ARZ-MIK-0257,https://www.hepsiburada.com/ara?q=Arzum+Mikser+ARZ-MIK-0257,https://www.amazon.com.tr/s?k=Arzum+Mikser+ARZ-MIK-0257,https://www.teknosa.com/arama/?s=Arzum+Mikser+ARZ-MIK-0257,https://www.vatanbilgisayar.com/arama/Arzum+Mikser+ARZ-MIK-0257,54,Yüksek
EV-00258,Süpürgeler,Dikey Süpürge,Arzum,Arzum Dikey Süpürge ARZ-DIK-0258,3850,MediaMarkt,Orta,Ev Temizliği,"1183 W motor, Siklon filtre, Kablosuz",C,Krem,24,51,8583,Stokta var,Evet,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Arzum+Dikey+S%C3%BCp%C3%BCrge+ARZ-DIK-0258,https://www.hepsiburada.com/ara?q=Arzum+Dikey+S%C3%BCp%C3%BCrge+ARZ-DIK-0258,https://www.amazon.com.tr/s?k=Arzum+Dikey+S%C3%BCp%C3%BCrge+ARZ-DIK-0258,https://www.teknosa.com/arama/?s=Arzum+Dikey+S%C3%BCp%C3%BCrge+ARZ-DIK-0258,https://www.vatanbilgisayar.com/arama/Arzum+Dikey+S%C3%BCp%C3%BCrge+ARZ-DIK-0258,51,Orta
